44!19ON-GXT5-10000RT208!18!UPS ON 3MIN 10KVA 2F 208VAC
45!19ON-GXT5-1000RT120!19!UPS ON 6MIN 1KVA 1F 120VAC
46!19ON-GXT5-15000RT208!20!UPS ON 5MIN 15KVA 2F 208VAC
47!19ON-GXT5-1500RT120!21!UPS ON 5MIN 1,5KVA 1F 120VAC
48!19ON-GXT5-20000RT208!22!UPS ON 5MIN 20KVA 2F 208VAC
49!19ON-GXT5-2000RT120!23!UPS ON 3MIN 2KVA 1F 120VAC
0!17AT3GBP071350-ASK!24!MOTOR 3F 1HP 2P 220/440V IE3
1!17AT3GBP081370-ADK!25!MOTOR 3F 2HP 2P 220/440V IE3
2!17AT3GBP082470-ADK!26!MOTOR 3F 3/4HP 4P 220/440V IE3
3!17AT3GBP082470-ADK1!27!MOTOR 3F 1HP 4P 220/440V IE3
4!17AT3GBP092530-ADK!28!MOTOR 3F 1,5HP 4P 220/440V IE3
5!17AT3GBP092540-ADK!29!MOTOR 3F 2HP 4P 220/440V IE3
6!17AT3GBP101810-ADK!30!MOTOR 3F 5HP 2P 220/440V IE3
7!17AT3GBP102810-ADK!31!MOTOR 3F 3HP 4P 220/440V IE3
8!17AT3GBP102820-ADK4!32!MOTOR 3F 4HP 4P 220/440V IE3
9!17AT3GBP102820-ADK5!33!MOTOR 3F 5HP 4P 220/440V IE3
10!17AT3GBP071350-ASK!34!MOTOR 3F 1HP 2P 220/440V IE3
11!17AT3GBP081370-ADK!35!MOTOR 3F 2HP 2P 220/440V IE3
12!17AT3GBP082470-ADK!36!MOTOR 3F 3/4HP 4P 220/440V IE3
13!17AT3GBP082470-ADK1!37!MOTOR 3F 1HP 4P 220/440V IE3
14!17AT3GBP092530-ADK!38!MOTOR 3F 1,5HP 4P 220/440V IE3
15!17AT3GBP092540-ADK!39!MOTOR 3F 2HP 4P 220/440V IE3
16!17AT3GBP101810-ADK!40!MOTOR 3F 5HP 2P 220/440V IE3
17!17AT3GBP102810-ADK!41!MOTOR 3F 3HP 4P 220/440V IE3
18!17AT3GBP102820-ADK4!42!MOTOR 3F 4HP 4P 220/440V IE3
19!17AT3GBP102820-ADK5!43!MOTOR 3F 5HP 4P 220/440V IE3
20!17AT3GBP071350-ASK!44!MOTOR 3F 1HP 2P 220/440V IE3
21!17AT3GBP081370-ADK!45!MOTOR 3F 2HP 2P 220/440V IE3
22!17AT3GBP082470-ADK!46!MOTOR 3F 3/4HP 4P 220/440V IE3
23!17AT3GBP082470-ADK1!47!MOTOR 3F 1HP 4P 220/440V IE3
24!17AT3GBP092530-ADK!48!MOTOR 3F 1,5HP 4P 220/440V IE3
25!17AT3GBP092540-ADK!49!MOTOR 3F 2HP 4P 220/440V IE3
26!17AT3GBP101810-ADK!50!MOTOR 3F 5HP 2P 220/440V IE3
27!17AT3GBP102810-ADK!51!MOTOR 3F 3HP 4P 220/440V IE3
28!17AT3GBP102820-ADK4!52!MOTOR 3F 4HP 4P 220/440V IE3
29!17AT3GBP102820-ADK5!53!MOTOR 3F 5HP 4P 220/440V IE3
30!17AT3GBP071350-ASK!54!MOTOR 3F 1HP 2P 220/440V IE3
31!17AT3GBP081370-ADK!55!MOTOR 3F 2HP 2P 220/440V IE3
32!17AT3GBP082470-ADK!56!MOTOR 3F 3/4HP 4P 220/440V IE3
33!17AT3GBP082470-ADK1!57!MOTOR 3F 1HP 4P 220/440V IE3
34!17AT3GBP092530-ADK!58!MOTOR 3F 1,5HP 4P 220/440V IE3
35!17AT3GBP092540-ADK!59!MOTOR 3F 2HP 4P 220/440V IE3
36!17AT3GBP101810-ADK!60!MOTOR 3F 5HP 2P 220/440V IE3
37!17AT3GBP102810-ADK!61!MOTOR 3F 3HP 4P 220/440V IE3
38!17AT3GBP102820-ADK4!62!MOTOR 3F 4HP 4P 220/440V IE3
39!17AT3GBP102820-ADK5!63!MOTOR 3F 5HP 4P 220/440V IE3
40!19VC-I10485!64!PDU V L6-30P (36)C13/(6)C19
41!19VC-VP43301!65!PDU V L6-30P (36)C13/(6)C19
42!19VC-VP7541!66!PDU V L6-30P (20)C13/(4)C19
43!19VC-VP8830!67!PDU V 5-20P 20A (24) 5-20R
44!19VC-VP8832!68!PDU V L5-30P (24) 5-20R
45!19VC-VP8841!69!PDU V L6-30P (36)C13/(6)C19
46!19VC-VP8865!70!PDU V L6-30P (36)C13/(6)C19
47!19VC-VP9567!71!PDU V L5-15P
48!20OI6186M-19PT!72!HMI 6186M AB INMON TACTIL 19IN
49!20OI6200M-22WBN!73!HMI 6200M VERSAVIEW5100 21,5IN
50!20OI6200V-DCCONN!74!HMI 6200M VERSA5100 CONCTOR DC
51!20OI6200V-DPCBL2M!75!HMI 6200M VERSA5100 DISPLAYPOR
52!20OI6200V-DPHDMI4K!76!HMI 6200M VERSA5100 DISP-HDMI
53!20OI6200V-MCLPS4!77!HMI 6200M VERSA5100 KIT CLIP
54!20OI6200V-MPS4!78!HMI 6200M VERSA5100 ADAPTADOR
55!20OI6200V-USBCBL2M!79!HMI 6200M VERSA5100 USB-TACTIL
0!20K61783-ETAP!80!SW 1783-ETAP 3W A-B 3CU
1!20K61783-ETAP1F!81!SW 1783-ETAP 4.8W A-B 2C1FO
2!20K61783-ETAP2F!82!SW 1783-ETAP 6.24W A-B 1C2FO
3!20K61783-HMS16T4CGN!83!SW 5400 LY2 A-B 20PTS DLR 4SFP
4!20K61783-HMS16TG4CGN!84!SW 5400 LY2 A-B 20PTS DLR 4SFP
5!20K61783-HMS16TG4CGR!85!SW 5400 LY3 20PTS DLR 4SFP
6!20K61783-HMS4C4CGN!86!SW 5400 LY2 1783 8PTS DLR 4SFP
7!20K61783-HMS4EG8CGN!87!SW 5400 LY2 AB 12PTS 8SFP POE4
8!20K61783-HMS4EG8CGR!88!SW 5400 LY3 AB 12PTS 8SFP POE4
9!20K61783-HMS4SG8EG4CGN!89!SW 5400 LY2 AB 16PTS 8SFP POE8
10!20K61783-HMS4T4E4CGN!90!SW 5400 LY2 AB 12PTS 4SFP POE4
11!20K61783-HMS8S4CGN!91!SW 5400 LY2 AB 12PTS DLR 8SFP
12!20K61783-HMS8SG4CGN!92!SW 5400 LY2 AB 12PTS DLR 8SFP
13!20K61783-HMS16T4CGN!93!SW 5400 LY2 A-B 20PTS DLR 4SFP
14!20K61783-HMS16TG4CGN!94!SW 5400 LY2 A-B 20PTS DLR 4SFP
15!20K61783-HMS16TG4CGR!95!SW 5400 LY3 20PTS DLR 4SFP
16!20K61783-HMS4C4CGN!96!SW 5400 LY2 1783 8PTS DLR 4SFP
17!20K61783-HMS4EG8CGN!97!SW 5400 LY2 AB 12PTS 8SFP POE4
18!20K61783-HMS4EG8CGR!98!SW 5400 LY3 AB 12PTS 8SFP POE4
19!20K61783-HMS4SG8EG4CGN!99!SW 5400 LY2 AB 16PTS 8SFP POE8
20!20K61783-HMS4T4E4CGN!100!SW 5400 LY2 AB 12PTS 4SFP POE4
21!20K61783-HMS8S4CGN!101!SW 5400 LY2 AB 12PTS DLR 8SFP
22!20K61783-HMS8SG4CGN!102!SW 5400 LY2 AB 12PTS DLR 8SFP
23!20K61783-IMS28GRAC!103!SW 5410 LY3 A-B 28PTS 16GBE
24!20K61783-IMS28GRDC!104!SW 5410 LY3 A-B 28PTS 16GBE
25!20K61783-IMS28NAC!105!SW 5410 LY2 28PTS 12GE+4TEN
26!20K61783-IMS28RAC!106!SW 5410 LY3 28PTS 12GE+4TEN
27!20K61783-IMS28RDC!107!SW 5410 LY3 28PTS 12GE+4TEN
28!20K61783-IMXDC!108!SW 5410 A-B 1783 PS LOW DC
29!20K61783-BMS06SA!109!SW 5700 MGD A-B 1783 6PTS
30!20K61783-BMS06SGA!110!SW 5700 MGD A-B 1783 6PTS GBE
31!20K61783-BMS06SGL!111!SW 5700 MGD A-B 1783 6PTS 2GBE
32!20K61783-BMS06SL!112!SW 5700 MGD A-B 1783 6PTS FE
33!20K61783-BMS06TGL!113!SW 5700 MGD A-B 1783 6PTS 2GBE
34!20K61783-BMS06TL!114!SW 5700 MGD A-B 1783 6PTS FE
35!20K61783-BMS10CA!115!SW 5700 MGD A-B 1783 10PTS FE
36!20K61783-BMS10CGA!116!SW 5700 MGD AB 1783 10PTS 2GBE
37!20K61783-BMS10CGL!117!SW 5700 MGD AB 1783 10PTS 2GBE
38!20K61783-BMS10CGN!118!SW 5700 MGD DLR 10PTS 2GBE
39!20K61783-BMS06SA!119!SW 5700 MGD A-B 1783 6PTS
40!20K61783-BMS06SGA!120!SW 5700 MGD A-B 1783 6PTS GBE
41!20K61783-BMS06SGL!121!SW 5700 MGD A-B 1783 6PTS 2GBE
42!20K61783-BMS06SL!122!SW 5700 MGD A-B 1783 6PTS FE
43!20K61783-BMS06TGL!123!SW 5700 MGD A-B 1783 6PTS 2GBE
44!20K61783-BMS06TL!124!SW 5700 MGD A-B 1783 6PTS FE
45!20K61783-BMS10CA!125!SW 5700 MGD A-B 1783 10PTS FE
46!20K61783-BMS10CGA!126!SW 5700 MGD AB 1783 10PTS 2GBE
47!20K61783-BMS10CGL!127!SW 5700 MGD AB 1783 10PTS 2GBE
48!20K61783-BMS10CGN!128!SW 5700 MGD DLR 10PTS 2GBE
49!20K61783-BMS06SA!129!SW 5700 MGD A-B 1783 6PTS
50!20K61783-BMS06SGA!130!SW 5700 MGD A-B 1783 6PTS GBE
51!20K61783-BMS06SGL!131!SW 5700 MGD A-B 1783 6PTS 2GBE
52!20K61783-BMS06SL!132!SW 5700 MGD A-B 1783 6PTS FE
53!20K61783-BMS06TGL!133!SW 5700 MGD A-B 1783 6PTS 2GBE
54!20K61783-BMS06TL!134!SW 5700 MGD A-B 1783 6PTS FE
55!20K61783-BMS10CA!135!SW 5700 MGD A-B 1783 10PTS FE
56!20K61783-BMS10CGA!136!SW 5700 MGD AB 1783 10PTS 2GBE
57!20K61783-BMS10CGL!137!SW 5700 MGD AB 1783 10PTS 2GBE
58!20K61783-BMS10CGN!138!SW 5700 MGD DLR 10PTS 2GBE
0!20K61783-SAD2T2SBK9!139!SW 5950 SEGURIDAD A-B 4PTS
1!20K61783-MS06T!140!SW 8000 LY2 A-B 1783 6PTS
2!20K61783-MX04S!141!SW 8000 EXP 1783 A-B MX04S
3!20K61783-MX08S!142!SW 8000 EXP 1783 A-B MX08S
4!20K61783-RMS06T!143!SW 8300 LY3 A-B 1783 6PTS
5!10PLM300X050Y7C!144!MQ PLCA POLY 3IN 0.50IN BL
6!10PLT100X000VYC-WH!145!MQ MULTI 1IN 7.6M BL/NG
7!10PLT400X000RXT!146!MQ MULTI 4IN 15.2M REFLC AM
8!10PMC060X020YJC!147!MQ GRAL 3/5 0.2H BL 750
9!10PMC061X030FJC!148!MQ GRAL 0.61 0.3H BL 500
10!10PMC100X050APT!149!MQ GRAL 1 1/2H BL R/500
11!10PMC100X050CBC!150!MQ GRAL 1 1/2H BL 175
12!10PMC100X050YJC!151!MQ GRAL 1 1/2H BL 500
13!10PMC100X050YPC!152!MQ GRAL 1 1/2H BL 250
14!10PMC120X150APT-22!153!MQ GRAL 1.2 1.5 BL BTN0.87 500
15!10PLM300X050Y7C!154!MQ PLCA POLY 3IN 0.50IN BL
16!10PLT100X000VYC-WH!155!MQ MULTI 1IN 7.6M BL/NG
17!10PLT400X000RXT!156!MQ MULTI 4IN 15.2M REFLC AM
18!10PMC060X020YJC!157!MQ GRAL 3/5 0.2H BL 750
19!10PMC061X030FJC!158!MQ GRAL 0.61 0.3H BL 500
20!10PMC100X050APT!159!MQ GRAL 1 1/2H BL R/500
21!10PMC100X050CBC!160!MQ GRAL 1 1/2H BL 175
22!10PMC100X050YJC!161!MQ GRAL 1 1/2H BL 500
23!10PMC100X050YPC!162!MQ GRAL 1 1/2H BL 250
24!10PMC120X150APT-22!163!MQ GRAL 1.2 1.5 BL BTN0.87 500
25!10PLM300X050Y7C!164!MQ PLCA POLY 3IN 0.50IN BL
26!10PLT100X000VYC-WH!165!MQ MULTI 1IN 7.6M BL/NG
27!10PLT400X000RXT!166!MQ MULTI 4IN 15.2M REFLC AM
28!10PMC060X020YJC!167!MQ GRAL 3/5 0.2H BL 750
29!10PMC061X030FJC!168!MQ GRAL 0.61 0.3H BL 500
30!10PMC100X050APT!169!MQ GRAL 1 1/2H BL R/500
31!10PMC100X050CBC!170!MQ GRAL 1 1/2H BL 175
32!10PMC100X050YJC!171!MQ GRAL 1 1/2H BL 500
33!10PMC100X050YPC!172!MQ GRAL 1 1/2H BL 250
